Snapshots/Description,Snapshots/Encrypted,Snapshots/OwnerId,Snapshots/Progress,Snapshots/SnapshotId,Snapshots/StartTime,Snapshots/State,Snapshots/VolumeId,Snapshots/VolumeSize,Snapshots/StorageTier,Snapshots/OwnerAlias,Snapshots/Tags/0/Key,Snapshots/Tags/0/Value,Snapshots/Tags/1/Key,Snapshots/Tags/1/Value,Snapshots/Tags/2/Key,Snapshots/Tags/2/Value,Snapshots/Tags/3/Key,Snapshots/Tags/3/Value,Snapshots/Tags/4/Key,Snapshots/Tags/4/Value,Snapshots/Tags/5/Key,Snapshots/Tags/5/Value,Snapshots/Tags/6/Key,Snapshots/Tags/6/Value,Snapshots/Tags/7/Key,Snapshots/Tags/7/Value,Snapshots/Tags/8/Key,Snapshots/Tags/8/Value
created by script,false,086685601027,100%,snap-0283722049dd53a4f,2021-07-27T13:47:00.557Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0fc417d655feb27ed,2021-07-05T09:23:57.636Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0e87e9a40c7aecb0a,2021-07-05T09:20:17.582Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-08f3543208bf7e161,2021-06-27T07:36:28.258Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0c2aca6f5e39e5745,2021-06-27T07:27:28.740Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0a78d33b6e14079ff,2021-06-26T15:57:00.546Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-05d6c151461c82cf4,2021-06-26T15:35:37.919Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-01d5248d68ae7ec64,2021-06-26T14:58:38.516Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0e8d6c72dd876b84a,2021-06-26T14:45:42.164Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-021f7f82fa96ced87,2021-06-26T14:36:53.202Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-017a3fe30dd545ced,2021-06-25T14:15:58.670Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-055600a580e924a7f,2021-06-25T13:24:42.165Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-081a1398f86504da5,2021-06-25T13:26:33.990Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-061476392468d4a26,2021-06-25T13:08:49.777Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0199bccf5a290d2b3,2021-06-25T12:53:50.822Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-01f46f6c43d2fde15,2021-06-25T13:00:46.195Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0e0e1bc8bb7c4270a,2021-06-25T07:15:45.946Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-093ea863485fb7556,2021-06-25T07:11:21.005Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0424d16cbb20b4ce1,2021-06-24T14:07:34.755Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-046a7f66b83270245,2021-06-24T14:11:50.496Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-09c1aa839ecec30b3,2021-06-24T13:46:21.566Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0d898f0923b406449,2021-06-24T13:49:41.647Z,completed,vol-01a7403de8e8c0efe,100,standard,,Name,xray,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0382ae3f8d7a5e1a5,2021-06-24T12:53:19.420Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-00339c39773df6697,2021-06-23T11:45:26.193Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-08ccabebe27df215a,2021-06-22T14:48:53.861Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-00e1c2e7eb8cacaf1,2021-06-22T14:43:38.946Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0d28e56a0549c43cf,2021-06-22T13:39:28.934Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-08443d4f71abab74d,2021-06-22T13:16:16.539Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0b88914c6e4690c72,2021-06-22T12:43:37.394Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0fe60d54b9c3b9b75,2021-06-22T12:38:13.054Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0f836868586196115,2021-06-22T12:02:14.287Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0289dd782ba4e8d16,2021-06-22T11:35:39.762Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-04c42d5c4ed9077f4,2021-06-22T08:44:17.469Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0dedf173f76829022,2021-06-22T08:37:23.020Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
,false,086685601027,100%,snap-01a08824c1acf8939,2021-06-01T19:20:01.404Z,completed,vol-01c57f958ff46052f,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-c2d84536,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-0e362d603cab5b28b,2021-06-01T19:09:58.637Z,completed,vol-01c57f958ff46052f,8,standard,,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-c2d84536,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,Snapshot,true,MaintainedBY,DevOps,Name,prometheus,,,,
,false,086685601027,100%,snap-0cc92f20af1fdd7f4,2021-05-24T10:39:58.318Z,completed,vol-0e167842304ab6045,8,standard,,Name,prometheus,spotinst:aws:ec2:group:id,sig-ada21993,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-0dd6cbb4a84420f87,2021-05-24T10:29:59.257Z,completed,vol-0e167842304ab6045,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-ada21993,,,,
,false,086685601027,100%,snap-06fb16ca9569b2953,2021-05-21T07:54:58.985Z,completed,vol-0b75ec758fcde7e27,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,Name,prometheus,Snapshot,true,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-355cee1b,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-08f74f6979e7f5b3e,2021-05-21T07:44:59.267Z,completed,vol-0b75ec758fcde7e27,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-355cee1b,CreatedBy,terraform,,,,
created by script,false,086685601027,100%,snap-00cd5d51cebdff4bd,2021-05-20T13:23:24.191Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-018405ec5de48b0d9,2021-05-20T13:18:38.885Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-097f5441107dfa8a0,2021-05-20T13:14:52.682Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
,false,086685601027,100%,snap-07a93c37239644c70,2021-05-20T09:45:00.435Z,completed,vol-0c18f895b549412b0,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,MaintainedBY,DevOps,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-2af95398,,,,
,false,086685601027,100%,snap-0eb05b8599177fc31,2021-05-20T09:34:58.879Z,completed,vol-0c18f895b549412b0,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-2af95398,CreatedBy,terraform,Name,prometheus,Snapshot,true,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,,,,
,false,086685601027,100%,snap-0a69b5c4ff0c40440,2021-05-18T16:00:00.959Z,completed,vol-051105e385c00bf1c,8,standard,,spotinst:aws:ec2:group:id,sig-63c9066d,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-04f8457bcfb5fd2f4,2021-05-18T15:50:00.819Z,completed,vol-051105e385c00bf1c,8,standard,,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-63c9066d,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-03781e4c7e57d0cf1,2021-05-18T14:50:00.136Z,completed,vol-027698411795c3cb1,8,standard,,Name,prometheus,Snapshot,true,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-5a7755de,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0f50d50b52661476a,2021-05-18T14:59:59.242Z,completed,vol-027698411795c3cb1,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-5a7755de,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-018c8d21b3a6a3ace,2021-05-17T15:00:06.486Z,completed,vol-0a01bfc67fbfab9a8,8,standard,,MaintainedBY,DevOps,Snapshot,true,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-22f387f4,spotinst:aws:ec2:group:createdBy,spotinst,Name,prometheus,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0e3d9800d458ae5b6,2021-05-17T14:39:59.908Z,completed,vol-027cf910f75a284af,8,standard,,Snapshot,true,Name,prometheus,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-be44066e,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-094d32e6465ad86f6,2021-05-17T14:45:01.507Z,completed,vol-027cf910f75a284af,8,standard,,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,spotinst:aws:ec2:group:id,sig-be44066e,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,,,,
,false,086685601027,100%,snap-0d90cb663d0bdebec,2021-05-17T14:05:07.600Z,completed,vol-0093dea579ddda661,8,standard,,Name,prometheus,Snapshot,true,MaintainedBY,DevOps,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-6e1884b0,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-0f35d5d5fd670b4cf,2021-05-17T14:15:00.374Z,completed,vol-0093dea579ddda661,8,standard,,spotinst:aws:ec2:group:id,sig-6e1884b0,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,Snapshot,true,Name,prometheus,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-062d8d6acc201b8f2,2021-05-17T13:15:01.086Z,completed,vol-073f6b3c08cb5e45f,8,standard,,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-86c5f264,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,,,,
,false,086685601027,100%,snap-070a4fff5da5599fd,2021-05-17T13:05:04.748Z,completed,vol-073f6b3c08cb5e45f,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-86c5f264,spotinst:accountId,act-bf1b8e33,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-001e81a54802a8a1d,2021-05-17T11:10:00.370Z,completed,vol-0dcfaae1f6981c637,8,standard,,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-64a3cb99,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-09711350f51ed9072,2021-05-17T11:04:59.279Z,completed,vol-0dcfaae1f6981c637,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,Name,prometheus,Snapshot,true,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,spotinst:aws:ec2:group:id,sig-64a3cb99,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-01b0b1e89750fe424,2021-05-17T09:34:58.263Z,completed,vol-0c79133fd98bf0303,8,standard,,spotinst:accountId,act-bf1b8e33,MaintainedBY,DevOps,Name,prometheus,spotinst:aws:ec2:group:id,sig-22f6c6ce,CreatedBy,terraform,Snapshot,true,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-0a72362191e4f326b,2021-05-17T09:25:00.658Z,completed,vol-0c79133fd98bf0303,8,standard,,MaintainedBY,DevOps,Snapshot,true,spotinst:aws:ec2:group:id,sig-22f6c6ce,CreatedBy,terraform,spotinst:aws:ec2:group:createdBy,spotinst,Name,prometheus,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-00d45c21a622c1aec,2021-05-14T13:19:59.399Z,completed,vol-0eb23db409533ebb8,8,standard,,spotinst:aws:ec2:group:id,sig-e9d35b9d,Name,prometheus,Snapshot,true,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,,,,
,false,086685601027,100%,snap-0d2d231e4e27ddb9f,2021-05-14T13:10:00.138Z,completed,vol-0eb23db409533ebb8,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-e9d35b9d,Snapshot,true,Name,prometheus,MaintainedBY,DevOps,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-0880bb0e7494993b2,2021-05-14T12:29:57.836Z,completed,vol-068c318252701388f,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,Name,prometheus,Snapshot,true,CreatedBy,terraform,spotinst:aws:ec2:group:id,sig-6096ac7d,,,,
,false,086685601027,100%,snap-01c58a45312d49820,2021-05-14T10:40:00.561Z,completed,vol-0c96b6a4221f73cc3,8,standard,,Name,prometheus,spotinst:aws:ec2:group:id,sig-21c9887d,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,MaintainedBY,DevOps,Snapshot,true,,,,
,false,086685601027,100%,snap-076bd89eada6c9eeb,2021-05-14T10:30:01.972Z,completed,vol-0c96b6a4221f73cc3,8,standard,,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:aws:ec2:group:id,sig-21c9887d,CreatedBy,terraform,Name,prometheus,Snapshot,true,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0cf338ecafe212446,2021-04-27T09:54:56.984Z,completed,vol-03e4a6bb515f1d4e9,100,standard,,MaintainedBY,DevOps,Snapshot,true,Name,xray,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-e299ad25,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,,,,
created by script,false,086685601027,100%,snap-08c34c567401f35a2,2021-04-27T09:46:49.061Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
,false,086685601027,100%,snap-0958b9cf7e7dc55f9,2021-04-27T09:44:57.695Z,completed,vol-03e4a6bb515f1d4e9,100,standard,,spotinst:aws:ec2:group:id,sig-e299ad25,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,Name,xray,Snapshot,true,,,,
created by script,false,086685601027,100%,snap-0fc74032c34b45ce0,2021-04-27T08:44:15.588Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
created by script,false,086685601027,100%,snap-0c47c37df802740f4,2021-04-27T08:35:11.295Z,completed,vol-059a7651f11a28405,500,standard,,Name,artifactory,,,,,,,,,,,,,,,,
,false,086685601027,100%,snap-0c480e9fea4fbf34d,2021-04-27T08:00:57.886Z,completed,vol-03e4a6bb515f1d4e9,100,standard,,spotinst:aws:ec2:group:id,sig-e299ad25,spotinst:aws:ec2:group:createdBy,spotinst,CreatedBy,terraform,MaintainedBY,DevOps,Snapshot,true,Name,xray,spotinst:accountId,act-bf1b8e33,,,,
,false,086685601027,100%,snap-0a564474c9616fa79,2021-04-26T15:14:58.041Z,completed,vol-0fd499d1bd4efc11f,100,standard,,spotinst:aws:ec2:group:id,sig-ba1df368,spotinst:aws:ec2:group:createdBy,spotinst,Name,xray,Snapshot,true,MaintainedBY,DevOps,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,,,,
,false,086685601027,100%,snap-03eb66a186b2d4e7d,2021-04-26T15:03:58.094Z,completed,vol-0561797342f322c4a,100,standard,,Name,xray,spotinst:aws:ec2:group:id,sig-845309f9,spotinst:aws:ec2:group:createdBy,spotinst,spotinst:accountId,act-bf1b8e33,CreatedBy,terraform,MaintainedBY,DevOps,Snapshot,true,,,,
,false,086685601027,100%,snap-0a7fc01d9e133a5ff,2021-04-26T14:45:00.380Z,completed,vol-0b1d1d3ee0aa19c98,100,standard,,Name,xray,Snapshot,true,spotinst:aws:ec2:group:id,sig-06788403,MaintainedBY,DevOps,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:createdBy,spotinst,,,,
,false,086685601027,100%,snap-04fe0fa31c6cdb1d6,2021-04-26T14:37:57.858Z,completed,vol-0b1d1d3ee0aa19c98,100,standard,,CreatedBy,terraform,spotinst:accountId,act-bf1b8e33,spotinst:aws:ec2:group:id,sig-06788403,Name,xray,Snapshot,true,MaintainedBY,DevOps,spotinst:aws:ec2:group:createdBy,spotinst,,,,
